Male,Female
ENSG00000259153.1,ENSG00000135480.15
ENSG00000021645.18,ENSG00000257671.1
ENSG00000119698.11,ENSG00000205426.10
ENSG00000186910.3,ENSG00000185479.5
ENSG00000168350.7,ENSG00000186081.11
ENSG00000150667.6,ENSG00000249641.2
ENSG00000233041.8,ENSG00000111344.11
ENSG00000140263.13,ENSG00000231817.7
ENSG00000140287.10,ENSG00000102837.6
ENSG00000074410.13,ENSG00000165799.4
ENSG00000212766.9,ENSG00000253701.2
ENSG00000225362.8,ENSG00000166922.8
ENSG00000261294.1,ENSG00000104140.6
ENSG00000116176.6,ENSG00000174171.5
ENSG00000277010.1,ENSG00000175318.11
ENSG00000122304.10,ENSG00000137868.18
ENSG00000278389.1,ENSG00000166426.7
ENSG00000156853.12,ENSG00000259604.5
ENSG00000103460.16,ENSG00000260807.6
ENSG00000198650.10,ENSG00000007038.10
ENSG00000260886.1,ENSG00000048462.10
ENSG00000261701.6,ENSG00000166828.2
ENSG00000154099.17,ENSG00000182601.6
ENSG00000179593.15,ENSG00000052344.15
ENSG00000126562.16,ENSG00000062038.13
ENSG00000108309.13,ENSG00000140873.15
ENSG00000262881.1,ENSG00000261175.5
ENSG00000179673.4,ENSG00000264067.1
ENSG00000075461.5,ENSG00000007216.14
ENSG00000108878.4,ENSG00000271503.5
ENSG00000108932.11,ENSG00000141750.6
ENSG00000237560.5,ENSG00000131746.12
ENSG00000262772.1,ENSG00000108244.16
ENSG00000071991.8,ENSG00000171346.15
ENSG00000266014.1,ENSG00000186847.5
ENSG00000129951.18,ENSG00000128422.15
ENSG00000172232.9,ENSG00000228639.6
ENSG00000185761.10,ENSG00000256124.5
ENSG00000174788.9,ENSG00000101680.14
ENSG00000268204.1,ENSG00000134762.16
ENSG00000183248.11,ENSG00000152229.18
ENSG00000161031.12,ENSG00000134443.9
ENSG00000186526.12,ENSG00000206075.13
ENSG00000105664.10,ENSG00000171236.9
ENSG00000124302.12,ENSG00000105376.4
ENSG00000130751.9,ENSG00000269289.5
ENSG00000088002.11,ENSG00000161249.20
ENSG00000142515.14,ENSG00000261857.6
ENSG00000167751.12,ENSG00000105369.9
ENSG00000167757.13,ENSG00000189377.8
ENSG00000101282.8,ENSG00000079385.21
ENSG00000238034.1,ENSG00000104783.11
ENSG00000101435.4,ENSG00000225950.8
ENSG00000173335.4,ENSG00000167754.12
ENSG00000118702.9,ENSG00000167755.14
ENSG00000124143.10,ENSG00000169035.11
ENSG00000276223.1,ENSG00000080031.9
ENSG00000101098.12,ENSG00000160471.12
ENSG00000275894.1,ENSG00000101443.17
ENSG00000278231.1,ENSG00000087510.6
ENSG00000064787.13,ENSG00000198768.10
ENSG00000054803.3,ENSG00000124205.15
ENSG00000101210.10,ENSG00000156284.5
ENSG00000159212.12,ENSG00000231106.2
ENSG00000183036.10,ENSG00000184012.11
ENSG00000099954.18,ENSG00000183421.11
ENSG00000100003.17,ENSG00000160183.13
ENSG00000273350.1,ENSG00000099958.14
ENSG00000272689.1,ENSG00000100170.9
ENSG00000185133.13,ENSG00000100139.13
ENSG00000236054.1,ENSG00000159958.6
ENSG00000100362.12,ENSG00000056998.19
ENSG00000100290.2,ENSG00000165197.4
ENSG00000124479.8,ENSG00000165349.11
ENSG00000008056.13,ENSG00000268104.2
ENSG00000179542.15,ENSG00000102243.12
